Airliner_code,Airliner_name,Airliner_RT
IPM ,IPM Europe ,SHIPEX 
LVB ,IRS Airlines ,SILVERBIRD 
ISD ,ISD Avia ,ISDAVIA 
IBE ,Iberia Airlines ,IBERIA 
IBS ,Iberia Express ,IBEREXPRESS 
IBR ,Ibertour Servicios Aéreos ,IBERTOUR 
IBT ,Ibertrans Aérea ,IBERTRANS 
IWD ,Iberworld ,IBERWORLD 
IBX ,Ibex Airlines ,IBEX 
IBC ,Ibicenca Air ,IBICENCA 
RAC ,Icar Air ,TUZLA AIR 
FRC ,Icare Franche Compte ,FRANCHE COMPTE 
IBK ,Norwegian Air International (Norway) ,NORTRANS 
ICD ,Icaro Air ,ICARO 
ICA ,Icaro ,ICARFLY 
IUS ,Icarus ,ICARUS 
ICJ ,Icejet ,ICEJET 
ICE ,Icelandair ,ICEAIR 
ICG ,Icelandic Coast Guard ,ICELAND COAST 
IKR ,Ikaros DK ,IKAROS 
CIO ,Il Ciocco International Travel Service ,CIOCCO 
ILV ,Il-Avia ,ILAVIA 
IDL ,Ildefonso Redriguez ,ILDEFONSO 
IAR ,Iliamna Air Taxi ,ILIAMNA AIR 
ILL ,Ilyich-Avia ,ILYICHAVIA 
IMR ,Imaer ,IMAER 
ITX ,Imair Airlines ,IMPROTEX 
PNX ,Imperial Airways ,PHOENIX 
IMT ,Imtrec Aviation ,IMTREC 
IDE ,Independence Air ,INDEPENDENCE AIR 
IDP ,Independent Air Freighters ,INDEPENDENT 
IGO ,IndiGo Airlines ,IFLY 
IIL ,India International Airways ,INDIA INTER 
IFC ,Indian Air Force ,INDIAN AIRFORCE 
IAC ,Indian Airlines ,INDAIR 
IDR ,Indicator Company ,INDICATOR 
IBU ,Indigo Airlines ,INDIGO BLUE 
IDA ,Indonesia Air Transport ,INTRA 
AWQ ,Indonesia AirAsia ,WAGON AIR 
IAA ,Indonesian Airlines ,INDO LINES 
IPN ,Industri Pesawat Terbang Nusantara ,NUSANTARA 
ITN ,Industrias Titan ,TITANLUX 
FFI ,Infinit Air ,INFINIT 
IMX ,Zimex Aviation ,ZIMEX 
IVA ,Innotech Aviation ,INNOTECH 
INC ,Insel Air International ,INSELAIR 
ICC ,Institut Cartogràfic de Catalunya ,CARTO 
INT ,Intair ,INTAIRCO 
INL ,Intal Avia ,INTAL AVIA 
XRA ,Intensive Air ,INTENSIVE 
ITW ,Inter Air ,INTER WINGS 
INX ,Inter Express ,INTER-EURO 
CAR ,Inter RCA ,QUEBEC ROMEO 
NTT ,Inter Tropic Airlines ,INTER-TROPIC 
TCU ,Inter Tropical Aviation ,TROPAIR 
ITA ,Inter-Air ,CAFEX 
ICN ,Inter-Canadian ,INTER-CANADIAN 
UGL ,Inter-Island Air ,UGLY VAN 
IMA ,Inter-Mountain Airways ,INTER-MOUNTAIN 
ITS ,Inter-State Aviation ,INTER-STATE 
ILN ,Interair South Africa ,INLINE 
NTE ,Interaire ,INTERMEX 
SUW ,Interavia Airlines ,ASTAIR 
IVT ,Interaviatrans ,INTERAVIA 
ICT ,Intercontinental de Aviación ,CONTAVIA 
ICP ,Intercopters ,CHOPER 
IFT ,Interflight ,INTERFLIGHT 
RFL ,Interfly ,INFLY 
IFF ,Interfreight Forwarding ,INTERFREIGHT 
IGN ,Interguide Air ,DIVINE AIR 
ISN ,Interisland Airlines ,TRI-BIRD 
IWY ,Interisland Airways Limited ,ISLANDWAYS 
AIJ ,Interjet ,ABC AEROLINEAS 
IHE ,Interjet Helicopters ,INTERCOPTER 
ITK ,Interlink Airlines ,INTERLINK 
IAK ,International Air Cargo Corporation ,AIR CARGO EGYPT 
EXX ,International Air Corporation ,EXPRESS INTERNATIONAL 
IAS ,International Air Service ,STARFLEET 
IAX ,International Air Services ,INTERAIR SERVICES 
IBZ ,International Business Air ,INTERBIZ 
IBY ,International Business Aircraft ,CENTRAL STAGE 
ICS ,International Charter Services ,INTERSERVI 
ICX ,International Charter Xpress ,INTEX 
RED ,International Committee of the Red Cross ,RED CROSS 
IIG ,"International Company for Transport, Trade and Public Works ",ALDAWLYH AIR 
IFX ,International Flight Training Academy ,IFTA 
IJA ,International Jet Aviation Services ,I-JET 
HSP ,International Jet Charter ,HOSPITAL 
RSQ ,International SOS WIndhoek ,SKYMEDIC 
THN ,International Security Assistance Force ,ATHENA 
ITH ,International Trans-Air ,INTRANS NIGERIA 
IPT ,Interport Corporation ,INTERPORT 
IKY ,Intersky Bulgary ,GENERAL SKY 
ISK ,Intersky ,INTERSKY 
FWA ,Interstate Airlines ,FREEWAYAIR 
ITU ,Intervuelos ,INTERLOS 
INV ,Inversija ,INVER 
IND ,Iona National Airways ,IONA 
IOA ,Iowa Airways ,IOWA AIR 
IRA ,Iran Air ,IRANAIR 
IRC ,Iran Aseman Airlines ,ASEMAN 
IRG ,Iranian Naft Airlines ,NAFT 
IAW ,Iraqi Airways ,IRAQI 
BIS ,Irbis Air ,IRBIS 
IRL ,Irish Air Corps ,IRISH 
RDK ,Irish Air Transport ,IRISH TRANS 
XMR ,Irish Aviation Authority ,AUTHORITY 
MZA ,Irtysh Air ,IRTYSH AIRLINES 
KCE ,Irving Oil ,KACEY 
ISI ,Island Air ,ISLANDMEX 
ILF ,Island Air Charters ,ISLAND FLIGHT 
XYZ ,Island Air Express ,RAINBIRD 
SOY ,Island Aviation ,SORIANO 
IOM ,Island Aviation and Travel ,ISLE AVIA 
SDY ,Island Express ,SANDY ISLE 
MTP ,Island Helicopters ,METROCOPTER 
IAJ ,Islandair Jersey ,JARLAND 
ICB ,Icebird Airline ,ICEBIRD 
ISW ,Islas Airways ,PINTADERA 
IGS ,Isle Grande Flying School ,ISLA GRANDE 
IOS ,Isles of Scilly Skybus ,SCILLONIA 
IAI ,Israel Aircraft Industries ,ISRAEL AIRCRAFT 
ISR ,Israir ,ISRAIR 
IST ,Istanbul Airlines ,ISTANBUL 
ACL ,Itali Airlines ,SPADA 
IFS ,Italy First ,RIVIERA 
IKA ,Itek Air ,ITEK-AIR 
IVS ,Ivoire Aero Services ,IVOIRE AERO 
IVW ,Ivoire Airways ,IVOIRAIRWAYS 
IJE ,Ivoire Jet Express ,IVOIRE JET 
IXR ,Ixair ,X-BIRD 
IZM ,Izair ,IZMIR 
IZA ,Izhavia ,IZHAVIA 
IMG ,Imperial Cargo Airlines ,IMPERIAL AIRLINES 
JDI ,Jet Story ,JEDI 
JTF ,Jet Time ,JETFIN 
JTN ,Jet Test International ,JET TEST 
JGJ ,Jinggong Jet ,GLOBAL JINGGONG 
JNY ,Journey Aviation ,UNIJET-ROCKBAND 
JKR ,Justice Air Charter ,JOKER 
JSH ,Jet-stream ,STREAM AIR 
JCB ,J C Bamford (Excavators) ,JAYSEEBEE 
RFX ,J P Hunt Air Carriers ,REFLEX 
JEX ,JAL Express ,JANEX 
JAZ ,JALways ,JALWAYS 
JDA ,JDAviation ,JAY DEE 
JDP ,JDP Lux ,RED PELICAN 
TQM ,JM Family Aviation ,TACOMA 
JMC ,JMC Airlines ,JAYEMMSEE 
JSJ ,JS Air ,JS CHARTER 
JES ,JS Aviation ,JAY-ESS AVIATION 
JCK ,Jackson Air Services ,JACKSON 
JAE ,Jade Cargo International ,JADE CARGO 
JAW ,Jamahiriya Airways ,JAW 
JMB ,Jambo Africa Airlines ,JAMBOAFRICA 
WWW ,Janet ,JANET 
JAK ,Jana-Arka ,YANZAR 
JAX ,Janair ,JANAIR 
JAC ,Japan Air Commuter ,COMMUTER 
JAL ,Japan Airlines ,JAPANAIR 
JAL ,Japan Airlines Domestic ,J-BIRD 
JAA ,Japan Asia Airways ,ASIA 
JTA ,Japan Transocean Air ,JAI OCEAN 
JAT ,JetSMART ,ROCKSMART 
JTY ,Jatayu Airlines ,JATAYU 
JZR ,Jazeera Airways ,JAZEERA 
JJA ,Jeju Air ,JEJU AIR 
JNY ,Jenney Beechcraft ,JENAIR 
JPN ,Jeppesen UK ,JETPLAN 
JEA ,OLT Express ,JETA 
JSI ,Jet Air Group ,SISTEMA 
JAI ,Jet Airways ,JET AIRWAYS 
JTX ,Jet Aspen Air Lines ,JET ASPEN 
PJS ,Jet Aviation ,JETAVIATION 
BZF ,Jet Aviation Business Jets ,BIZFLEET 
JAS ,Jet Aviation Flight Services ,JET SETTER 
JCF ,Jet Center Flight Training ,JET CENTER 
JCT ,Jet Charter ,JET CHARTER 
JCX ,Jet Connection ,JET CONNECT 
DWW ,Jet Courier Service ,DON JUAN 
JED ,Jet East International ,JET EAST 
JEI ,Jet Executive International Charter ,JET EXECUTIVE 
RZA ,Jet Fighter Flights ,RAZOR 
CFT ,Jet Freighters ,CASPER FREIGHT 
JGD ,Jet G&D Aviation ,JET GEE-AND-DEE 
MJL ,Jet Line International ,MOLDJET 
JEK ,Jet Link ,JET OPS 
HTL ,Jet Linx Aviation ,HEARTLAND 
JTL ,Jet Linx Aviation ,JET LINX 
JNR ,Jet Norte ,JET NORTE 
JRN ,Jet Rent ,JET RENT 
JDI ,Jet Story ,JEDI 
JSA ,Jetstar Asia Airways ,JETSTAR ASIA 
JSM ,Jet Stream ,JET STREAM 
JTC ,Jet Trans Aviation ,JETRANS 
JTT ,Jet-2000 ,MOSCOW JET 
OPS ,Jet-Ops ,OPS-JET 
EXS ,Jet2.com ,CHANNEX 
JFU ,Jet4You ,ARGAN 
OSW ,JetAfrica Swaziland ,BEVO 
JBU ,JetBlue Airways ,JETBLUE 
JMG ,JetMagic ,JET MAGIC 
JAA ,Jet Asia Airways ,JET ASIA 
JAF ,Jetairfly ,BEAUTY 
JTL ,Jetall Holdings ,FIREFLY 
JAG ,Jetalliance ,JETALLIANCE 
JCS ,Jetclub ,JETCLUB 
QNZ ,Jetconnect ,QANTAS JETCONNECT 
UEJ ,Jetcorp ,JETCORP 
JCC ,Jetcraft Aviation ,JETCRAFT 
JEF ,Jetflite ,JETFLITE 
JFL ,Jetfly Airlines ,LINEFLYER 
JFA ,Jetfly Aviation ,MOSQUITO 
JIC ,Jetgo International ,JIC-JET 
JLX ,Jetlink Express ,KEN JET 
JNL ,JetNetherlands ,JETNETHERLANDS 
JNV ,Jetnova de Aviación Ejecutiva ,JETNOVA 
JPO ,Jetpro ,JETPRO 
MDJ ,Jetran Air ,JETRAN AIR 
JRI ,Jetrider International ,JETRIDER 
JEJ ,Jets Ejecutivos ,MEXJETS 
JEP ,Jets Personales ,JET PERSONALES 
JSE ,Jets Y Servicios Ejecutivos ,SERVIJETS 
JGO ,JetsGo ,JETSGO 
JST ,Jetstar Airways ,JETSTAR 
JJP ,Jetstar Japan ,ORANGE LINER 
JKT ,Jetstar Hong Kong Airways ,KAITAK 
JXT ,Jetstream Executive Travel ,VANNIN 
RSP ,JetSuite ,REDSTRIPE 
JPQ ,Jett Paqueteria ,JETT PAQUETERIA 
JEC ,Jett8 Airlines Cargo ,TAIPAN 
JTG ,Jettime ,JETTIME 
JTN ,Jettrain Corporation ,JETTRAIN 
JWY ,Jetways of Iowa ,JETWAYS 
JXX ,JetX Airlines ,JETBIRD 
JIB ,Jibair ,JIBAIRLINE 
JSW ,Jigsaw Project ,JIGSAW 
HKN ,Jim Hankins Air Service ,HANKINS 
RAS ,Jim Ratliff Air Service ,SHANHIL 
JDG ,Joanas Avialinijos ,LADYBLUE 
JBR ,Job Air ,JOBAIR 
JHN ,Johnson Air ,AIR JOHNSON 
JON ,Johnsons Air ,JOHNSONSAIR 
JMJ ,Johnston Airways ,JOHNSTON 
JMM ,Joint Military Commission ,JOICOMAR 
JMT ,Jomartaxi Aereo ,JOMARTAXI 
ODI ,"Jonsson, H Air Taxi ",ODINN 
JAV ,Jordan Aviation ,JORDAN AVIATION 
JVK ,Jorvik ,ISLANDIC 
ENZ ,Jota Aviation ,ENZO 
JNJ ,Journey Jet ,JOURNEY JET 
JUR ,Ju-Air ,JUNKERS 
JFS ,Juanda Flying School ,JAEMCO 
JUC ,Juba Cargo Services & Aviation Company ,JUBA CARGO 
JUB ,Jubba Airways ,JUBBA 
DKE ,Jubilee Airways ,DUKE 
DKH ,Juneyao Airlines ,JUNEYAO AIRLINES 
MEY ,Justair Scandinavia ,MELODY 
DOJ ,Justice Prisoner and Alien Transportation System ,JUSTICE 
KCH ,KC International Airlines ,CAM AIR 
KCR ,Kolob Canyons Air Services ,KOLOB 
KHK ,Kharkiv Airlines ,SUNRAY 
KGZ ,Kyrgyz Airlines ,BERMET 
KDC ,K D Air Corporation ,KAY DEE 
KSA ,K S Avia ,SKY CAMEL 
KMI ,K-Mile Air ,KAY-MILE AIR 
KLS ,Kalstar Aviation ,KALSTAR 
KNI ,KD Avia ,KALININGRAD AIR 
KLC ,KLM Cityhopper ,CITY 
KLH ,KLM Helicopter ,KLM HELI 
KLM ,KLM ,KLM 
QNK ,Kabo Air ,KABO 
KMC ,Kahama Mining Corporation ,KAHAMA 
KAI ,Kaiser Air ,KAISER 
CKS ,Kalitta Air ,CONNIE 
KFS ,Kalitta Charters ,KALITTA 
KFS ,Kalitta Charters II ,KALITTA 
KES ,Kallat El Saker Air Company ,KALLAT EL SKER 
KMF ,Kam Air ,KAMGAR 
KMP ,Kampuchea Airlines ,KAMPUCHEA 
KHE ,Kanfey Ha'emek Aviation ,KANFEY HAEMEK 
KSU ,Kansas State University ,K-STATE 
AKT ,Karat ,AVIAKARAT 
KRB ,Karibu Airways Company ,KARIBU AIR 
KLG ,Karlog Air Charter ,KARLOG 
KAJ ,Karthago Airlines ,KARTHAGO 
KAE ,Kartika Airlines ,KARTIKA 
KTV ,Kata Transportation ,KATAVIA 
KTK ,Katekavia ,KATEKAVIA 
KAT ,Kato Airline ,KATO-AIR 
MVD ,Kavminvodyavia ,AIR MINVODY 
KRN ,Kaz Agros Avia ,ANTOL 
KAW ,Kaz Air West ,KAZWEST 
KAO ,Kazan Aviation Production Association ,KAZAVAIA 
KPH ,Kazan Helicopters ,KAMA 
KKA ,Kazavia ,KAKAIR 
KZR ,Air Astana ,SPAKAZ 
KZS ,Kazaviaspas ,ASTANALINE 
JFK ,Keenair Charter - ,KEENAIR 
KLX ,Kelix Air ,KELIX 
FKL ,Kelner Airways ,KELNER 
KFA ,Kelowna Flightcraft Air Charter ,FLIGHTCRAFT 
KDA ,Kendell Airlines ,KENDELL 
KEN ,Kenmore Air ,KENMORE 
KBA ,Kenn Borek Air ,BOREK AIR 
KAH ,Kent Aviation ,DEKAIR 
KQA ,Kenya Airways ,KENYA 
KVS ,Kevis ,KEVIS 
KEY ,Key Airlines ,KEY AIR 
LYM ,Key Lime Air ,KEY LIME 
FTP ,Keystone Aerial Surveys ,FOOTPRINT 
KEE ,Keystone Air Service ,KEYSTONE 
KZW ,Khalifa Airways ,KHALIFA AIR 
WKH ,Kharkov Aircraft Manufacturing Company ,WEST-KHARKOV 
KHR ,Khazar ,KHAZAR 
KHP ,Khoezestan Photros Air Lines ,PHOTROS AIR 
KRV ,Khoriv-Avia ,KHORIV-AVIA 
KHO ,Khors Aircompany ,AIRCOMPANY KHORS 
KHY ,Khyber Afghan Airlines ,KHYBER 
UAK ,Kiev Aviation Plant ,AVIATION PLANT 
KNG ,King Aviation ,KING 
BEZ ,Kingfisher Air Services ,SEA BREEZE 
KFR ,Kingfisher Airlines ,KINGFISHER 
KNX ,Knighthawk Air Express ,KNIGHT FLIGHT 
KAS ,Kingston Air Services ,KINGSTON AIR 
KIP ,Kinnarps ,KINNARPS 
KNS ,Kinshasa Airways ,KINSHASA AIRWAYS 
KTA ,Kirov Air Enterprise ,VYATKA-AVIA 
IRK ,Kish Air ,KISHAIR 
KHA ,Kitty Hawk Aircargo ,AIR KITTYHAWK 
KHC ,Kitty Hawk Airways ,CARGO HAWK 
KIA ,Kiwi International Air Lines ,KIWI AIR 
KRA ,Kiwi Regional Airlines ,REGIONAL 
KNA ,Knight Air ,KNIGHTAIR 
KHX ,Knighthawk Express ,RIZZ 
KGT ,Knights Airlines ,KNIGHT-LINER 
KOA ,Koanda Avacion ,KOANDA 
OYE ,Koda International ,KODA AIR 
KGL ,Kogalymavia Air Company ,KOGALYM 
KOM ,Kom Activity ,COMJET 
KMA ,Komiaviatrans State Air Enterprise ,KOMI AVIA 
KMV ,Komiinteravia ,KOMIINTER 
KNM ,Komsomolsk-on-Amur Air Enterprise ,KNAAPO 
KOB ,Koob-Corp - 96 KFT ,AUTOFLEX 
KAL ,Korean Air ,KOREANAIR 
KMG ,Kosmas Air ,KOSMAS CARGO 
KSM ,Kosmos ,KOSMOS 
KOS ,Kosova Airlines ,KOSOVA 
WOK ,Kovar Air ,WOKAIR 
KJC ,Krasnojarsky Airlines ,KRASNOJARSKY AIR 
KFC ,Kremenchuk Flight College ,KREMENCHUK 
KRG ,Krimaviamontag ,AVIAMONTAG 
KRO ,Kroonk Air Agency ,KROONK 
KRI ,Krylo Airlines ,Krylo 
KYM ,Krym ,CRIMEA AIR 
OPC ,Krystel Air Charter ,OPTIC 
KIL ,Kuban Airlines ,AIR KUBAN 
KPA ,Kunpeng Airlines ,KUNPENG 
KBV ,Kustbevakningen ,SWECOAST 
KAC ,Kuwait Airways ,KUWAITI 
KZU ,Kuzu Airlines Cargo ,KUZU CARGO 
QVR ,Kvadro Aero ,PEGASO 
KWN ,Kwena Air ,KWENA 
KGZ ,Kyrgyz Airlines ,BERMET 
KTC ,Kyrgyz Trans Avia ,DINARA 
LYN ,Kyrgyzstan ,ALTYN AVIA 
KGA ,Kyrgyzstan Airlines ,KYRGYZ 
DAM ,Kyrgyzstan Department of Aviation ,FLIGHT RESCUE 
KGB ,Kyrgz General Aviation ,KEMIN 
KEW ,Keewatin Air ,BLIZZARD 
AOE ,Livingstone Executive ,LIVINGSTONE AIR 
LZF ,Lease Fly ,SKYLEASE 
LHB ,Liebherr Geschaeftreiseflugzeug ,FAMILY 
LGA ,Logistic Air ,LOGAIR 
LGC ,Legacy Air ,LEGACY AIR 
JKA ,LeTourneau University ,JACKET 
LTY ,Liberty Air ,SKYDECK 
LWL ,Lowlevel ,CUB DRIVER 
LWA ,Libyan Wings ,LIBYAN WINGS 
LCT ,TAR Aerolineas ,TAR 
LYB ,Lynden Air Cargo ,HIGHLANDS 
LAH ,L A Helicopter ,STAR SHIP 
LJY ,L J Aviation ,ELJAY 
LRB ,L R Airlines ,LADY RACINE 
PHO ,L&L Flygbildteknik ,PHOTOFLIGHT 
LEX ,L'Express Airlines ,LEX 
FNT ,L-3 Communications Flight International Aviation ,FLIGHT INTERNATIONAL 
LAB ,L.A.B. Flying Service ,LAB 
LRC ,LACSA ,LACSA 
LDE ,LADE - Líneas Aéreas Del Estado ,LADE 
BNX ,LAI - Línea Aérea IAACA ,AIR BARINAS 
LAN ,LATAM Chile ,LAN CHILE 
DSM ,LATAM Argentina ,LAN AR 
LCO ,LATAM Cargo Chile ,LAN CARGO 
ARE ,LATAM Colombia ,LAN COLOMBIA 
LAP ,LATAM Paraguay ,PARAGUAYA 
LNC ,LAN Dominicana ,LANCANA 
LXP ,LATAM Express ,LANEX 
LPE ,LATAM Peru ,LANPERU 
LSA ,LANSA ,INTERNACIONAL 
APT ,"LAP Colombia - Líneas Aéreas Petroleras, S.A. ",LAP 
OTN ,LASTP ,LASTP 
LCB ,LC Busre ,BUSRE 
LOT ,LOT Polish Airlines ,POLLOT 
JKA ,LeTourneau University ,JACKET 
LTE ,LTE International Airways ,FUN JET 
LTO ,LTU Austria ,BILLA TRANSPORT 
LTU ,LTU International ,LTU 
JFC ,LTV Jet Fleet Corporation ,JET-FLEET 
LUK ,LUKoil-Avia ,LUKOIL 
ASK ,La Ronge Aviation Services ,AIR SASK 
LVT ,La Valenciana Taxi Aéreo ,TAXIVALENCIANA 
SKQ ,Labcorp ,SKYLAB 
LAL ,Labrador Airways ,LAB AIR 
HCA ,Lake Havasu Air Service ,HAVASU 
LKL ,Lakeland Aviation ,LAKELAND 
LKR ,Laker Airways ,LAKER 
LBH ,Laker Airways (Bahamas) ,LAKER BAHAMAS 
LMR ,Lamra ,LAMAIR 
TCR ,Lanaes Aereas Trans Costa Rica ,TICOS 
ISL ,Landsflug ,ISLANDIA 
PAP ,Langtry Flying Group ,PROFLIGHT 
LKN ,Lankair ,Lankair 
RLN ,Lankan Cargo ,AERO LANKA 
LZA ,Lanza Air ,AEROLANZA 
LZT ,Lanzarote Aerocargo ,BARAKA 
LLL ,Lao Skyway ,LAVIE 
LAO ,Lao Airlines ,LAO 
LKA ,Lao Capricorn Air ,NAKLAO 
LPN ,Laoag International Airlines ,LAOAG AIR 
LRD ,Laredo Air ,LAREDO AIR 
LTC ,LatCharter ,LATCHARTER 
LAF ,Latvian Air Force ,LATVIAN AIRFORCE 
LDA ,Lauda Air ,LAUDA AIR 
LDM ,LaudaMotion ,LAUDA MOTION 
LDI ,Lauda Air Italy ,LAUDA ITALY 
LEP ,Laughlin Express ,LAUGHLIN EXPRESS 
LSU ,Laus ,LAUS AIR 
LAR ,Lawrence Aviation ,LAWRENCE 
LAY ,Layang-Layang Aerospace ,LAYANG 
LPL ,Lease-a-Plane International ,LEASE-A-PLANE 
LAQ ,Lebanese Air Transport ,LAT 
LAT ,Lebanese Air Transport (charter) ,LEBANESE AIR 
LAD ,Lebanon Airport Development Corporation ,LADCO-AIR 
LEB ,Lebap ,LEBAP 
LCA ,Leconte Airlines ,LECONTE 
LIA ,Leeward Islands Air Transport ,LIAT 
LGD ,Legend Airlines ,LEGENDARY 
LWD ,Leisure Air ,LEISURE WORLD 
LEN ,Lentini Aviation ,LENTINI 
LOR ,Leo-Air ,LEO CHARTER 
LEL ,Leonsa De Aviación ,LEONAVIA 
LVL ,Level ,LEVEL 
LYW ,Libyan Airlines ,LIBYAN AIRWAYS 
LAA ,Libyan Arab Airlines ,LIBAIR 
LCR ,Libyan Arab Air Cargo ,LIBAC 
LCG ,Lignes Aeriennes Congolaises ,CONGOLAISE 
LKD ,Lignes Aeriennes Du Tchad ,LATCHAD 
LME ,Lignes Mauritaniennes Air Express ,LIMAIR EXPRESS 
GCB ,Lignes Nationales Aeriennes - Linacongo ,LINACONGO 
LSY ,Lindsay Aviation ,LINDSAY AIR 
NOT ,Línea Aérea Costa Norte ,COSTA NORTE 
LMC ,Línea Aérea Mexicana de Carga ,LINEAS DECARGA 
LNP ,Línea Aérea SAPSA ,SAPSA 
NEG ,Línea Aérea de Fumig Aguas Negras ,AGUAS NEGRAS 
LER ,Línea Aérea de Servicio Ejecutivo Regional ,LASER 
TUY ,Línea Turística Aereotuy ,AEREOTUY 
ALR ,Líneas Aéreas Alaire S.L. ,AEROLAIRE 
LCD ,Líneas Aéreas Azteca ,LINEAS AZTECA 
LCN ,Líneas Aéreas Canedo LAC ,CANEDO 
LCM ,Líneas Aéreas Comerciales ,LINEAS COMERCIALES 
EDD ,Líneas Aéreas Ejectuivas De Durango ,LINEAS DURANGO 
EDR ,Líneas Aéreas Eldorado ,ELDORADRO 
FED ,Líneas Aéreas Federales ,FEDERALES 
LMN ,Líneas Aéreas Monarca ,LINEAS MONARCA 
LIJ ,Líneas Aéreas San Jose ,LINEAS JOSE 
UMA ,Líneas Aéreas del Humaya ,HUMAYA 
LEC ,Linex ,LECA 
SMS ,Linhas Aéreas Santomenses ,SANTOMENSES 
LAM ,Linhas Aéreas de Moçambique ,MOZAMBIQUE 
WGT ,Volkswagen AirService GmbH ,WORLDGATE 
LNI ,Lion Air ,LION INTER 
LEU ,Lions-Air ,LIONSAIR 
LYF ,Lithuanian Air Force ,LITHUANIAN AIRFORCE 
LRA ,Little Red Air Service ,LITTLE RED 
LVG ,Livingston Energy Flight ,LIVINGSTON 
LLB ,Lloyd Aéreo Boliviano ,LLOYDAEREO 
LNA ,Lnair Air Services ,ELNAIR 
LAC ,Lockeed Aircraft Corporation ,LOCKHEED 
CBD ,Lockheed Martin Aeronautics ,CATBIRD 
LNG ,Lockheed Martin Aeronautics Company ,LIGHTNING 
LOG ,Loganair ,LOGAN 
CLV ,Lom Praha Flying School ,AEROTRAINING 
LMS ,Lomas Helicopters ,LOMAS 
LCY ,London City Airport Jet Centre ,LONDON CITY 
LNX ,London Executive Aviation ,LONEX 
LOV ,London Flight Centre (Stansted) ,LOVEAIR 
LHC ,London Helicopter Centres ,MUSTANG 
LSS ,Lone Star Airlines ,LONE STAR 
ORA ,Long Island Airlines ,LONG ISLAND 
LGT ,Longtail Aviation ,LONGTAIL 
LRR ,Lorraine Aviation ,LORRAINE 
LSC ,Los Cedros Aviación ,CEDROS 
TAS ,Lotus Air ,LOTUS FLOWER 
LTW ,Luchtvaartmaatschappij Twente ,TWENTAIR 
LKE ,Lucky Air ,LUCKY AIR 
LUT ,Luft Carago ,LUGO 
LVD ,Luftfahrt-Vermietungs-Dienst ,AIR SANTE 
DLH ,Lufthansa ,LUFTHANSA 
GEC ,Lufthansa Cargo ,LUFTHANSA CARGO 
CLH ,Lufthansa CityLine ,HANSALINE 
LHT ,Lufthansa Technik ,LUFTHANSA TECHNIK 
LTF ,Lufttaxi Fluggesellschaft ,Garfield 
LTR ,Lufttransport ,LUFT TRANSPORT 
LHS ,Luhansk ,ENTERPRISE LUHANSK 
UNY ,Lund University School of Aviation ,UNIVERSITY 
LGL ,Luxair ,LUXAIR 
LXA ,Luxaviation ,RED LION 
LUV ,Luxembourg Air Rescue ,LUX RESCUE 
LFE ,Luxflight Executive ,LUX EXPRESS 
LUZ ,Luzair ,LISBON JET 
UKW ,Lviv Airlines ,UKRAINE WEST 
LYD ,Lydd Air ,LYDDAIR 
LCH ,Lynch Flying Service ,LYNCH AIR 
LYC ,Lynden Air Cargo ,LYNDEN 
LXF ,Lynx Air International ,LYNX FLIGHT 
LYX ,Lynx Aviation ,LYNX AIR 
SSX ,Lynx Aviation ,SHASTA 
LPR ,Líneas Aéreas Privadas Argentinas ,LAPA 
LAU ,Líneas Aéreas Suramericanas ,SURAMERICANO 
SNG ,LongJiang Airlines ,SNOW EAGLE 
JNA ,Jin Air ,JIN AIR 
DQA ,Maldivian (airline) ,ISLAND AVIATION 
MMH ,McMahon Helicopter ,NIGHT RIDER 
HOG ,Mahogany Air Charters ,HOGAN AIR 
MSF ,Minsheng International Jet ,MEINSHENG 
MXS ,Millon Express ,MILLON EXPRESS 
MHF ,Maritime Helicopters ,AIR MARITIME 
MWM ,Modern Transporte Aereo De Carga ,MODERNAIR 
MSJ ,Magnum Air ,MAGNUM AIR 
MWI ,Malawian Airlines 2014 ,MALAWIAN 
MYP ,Mann Yadanarpon Airlines ,MANN ROYAL 
RDK ,Memorial Hermann Hospital System ,RED DUKE 
MLV ,Multiservicios Aereos Del Valle ,MULTI VALLE 
MMJ ,Macau Jet International ,MACAUJET 
MXF ,Maximum Flight Advantages ,MAXFLIGHT 
MXD ,Malindo Airways ,MALINDO EXPRESS 
MJC ,Mandarin Air ,AIR MANDA 
PLG ,MBK-S ,PILGRIM 
DZR ,Midwest Aviation ,DOZER 
MFB ,Mountain Flyers 80 ,MOUNTAINHELI 
HTL ,My Fair Jet ,HOTLINE 
JNH ,M & N Aviation ,JONAH 
MCF ,MAC Fotografica ,MAC FOTO 
MRG ,MANAG'AIR ,MANAG AIR 
MPJ ,MAP-Management and Planung ,MAPJET 
TFG ,MAS Airways ,TRAFALGAR 
MAA ,MasAir ,MAS CARGA 
MWG ,MASwings ,MASWINGS 
MAK ,MAT Macedonian Airlines ,MAKAVIO 
MCC ,MCC Aviation ,DISCOVERY 
MGA ,MG Aviación ,MAG AVACION 
JLA ,MIA Airlines ,SALLINE 
MGL ,MIAT Mongolian Airlines ,MONGOL AIR 
MNC ,MIT Airlines ,MUNCIE 
MKA ,MK Airline ,KRUGER-AIR 
MNB ,MNG Airlines ,BLACK SEA 
EBF ,MSR Flug-Charter ,SKYRUNNER 
MCV ,MTC Aviación ,MTC AVIACION 
